"","focalid","role","dyadid","outcome","focalcode","partcode","obs"
"496",265,2,2652,1,1,0,26522
"497",265,1,2653,1,0,1,26531
"498",265,2,2653,1.5,1,0,26532
"499",266,1,2661,1.83333333333333,0,1,26611
"500",266,2,2661,1,1,0,26612
"501",266,1,2662,2,0,1,26621
"502",266,2,2662,1.16666666666667,1,0,26622
"503",266,1,2663,1.83333333333333,0,1,26631
"504",266,2,2663,1.16666666666667,1,0,26632
"505",269,1,2691,1,0,1,26911
"506",269,2,2691,2,1,0,26912
"507",269,1,2692,1.33333333333333,0,1,26921
"508",269,2,2692,1,1,0,26922
"509",269,1,2693,1.5,0,1,26931
"510",269,2,2693,1,1,0,26932
"511",271,1,2711,1.66666666666667,0,1,27111
"512",271,2,2711,1.33333333333333,1,0,27112
"513",271,1,2712,1.16666666666667,0,1,27121
"514",271,2,2712,1,1,0,27122
"515",271,1,2713,1.66666666666667,0,1,27131
"516",271,2,2713,2,1,0,27132
"517",275,1,2751,1.66666666666667,0,1,27511
"518",275,2,2751,3.5,1,0,27512
"519",275,1,2752,1.16666666666667,0,1,27521
"520",275,2,2752,3.16666666666667,1,0,27522
"521",275,1,2753,1.33333333333333,0,1,27531
"522",275,2,2753,2.16666666666667,1,0,27532
"523",276,1,2761,1,0,1,27611
"524",276,2,2761,1.16666666666667,1,0,27612
"525",276,1,2762,2,0,1,27621
"526",276,2,2762,2,1,0,27622
"527",276,1,2763,2.33333333333333,0,1,27631
"528",276,2,2763,2.16666666666667,1,0,27632
"529",281,1,2811,2,0,1,28111
"530",281,2,2811,1.33333333333333,1,0,28112
"531",281,1,2812,1,0,1,28121
"532",281,2,2812,1,1,0,28122
"533",281,1,2813,1,0,1,28131
"534",281,2,2813,1,1,0,28132
"535",283,1,2831,1.33333333333333,0,1,28311
"536",283,2,2831,1,1,0,28312
"537",283,1,2832,1,0,1,28321
"538",283,2,2832,1,1,0,28322
"539",283,1,2833,1,0,1,28331
"540",283,2,2833,1,1,0,28332
"541",284,1,2841,2.16666666666667,0,1,28411
"542",284,2,2841,2.66666666666667,1,0,28412
"543",284,1,2842,2.5,0,1,28421
"544",284,2,2842,1.33333333333333,1,0,28422
"545",284,1,2843,3,0,1,28431
"546",284,2,2843,1.16666666666667,1,0,28432
"547",290,1,2901,2.83333333333333,0,1,29011
"548",290,2,2901,2.66666666666667,1,0,29012
"549",290,1,2902,2.16666666666667,0,1,29021
"550",290,2,2902,2.16666666666667,1,0,29022
"551",290,1,2903,3.33333333333333,0,1,29031
"552",290,2,2903,2.5,1,0,29032
"553",294,1,2941,1,0,1,29411
"554",294,2,2941,1.83333333333333,1,0,29412
"555",294,1,2942,1,0,1,29421
"556",294,2,2942,1.16666666666667,1,0,29422
"557",294,1,2943,1.5,0,1,29431
"558",294,2,2943,1.33333333333333,1,0,29432
"559",304,1,3041,1.83333333333333,0,1,30411
"560",304,2,3041,1.5,1,0,30412
"561",304,1,3042,1.5,0,1,30421
"562",304,2,3042,1.5,1,0,30422
"563",304,1,3043,2,0,1,30431
"564",304,2,3043,3.33333333333333,1,0,30432
"565",319,1,3191,1.83333333333333,0,1,31911
"566",319,2,3191,2,1,0,31912
"567",319,1,3192,2.5,0,1,31921
