"focalid","role","dyadid","outcome","focalcode","partcode","obs"
284,1,2843,3,0,1,28431
284,2,2843,1.16666666666667,1,0,28432
290,1,2901,2.83333333333333,0,1,29011
290,2,2901,2.66666666666667,1,0,29012
290,1,2902,2.16666666666667,0,1,29021
290,2,2902,2.16666666666667,1,0,29022
290,1,2903,3.33333333333333,0,1,29031
290,2,2903,2.5,1,0,29032
294,1,2941,1,0,1,29411
294,2,2941,1.83333333333333,1,0,29412
294,1,2942,1,0,1,29421
294,2,2942,1.16666666666667,1,0,29422
294,1,2943,1.5,0,1,29431
294,2,2943,1.33333333333333,1,0,29432
304,1,3041,1.83333333333333,0,1,30411
304,2,3041,1.5,1,0,30412
304,1,3042,1.5,0,1,30421
304,2,3042,1.5,1,0,30422
304,1,3043,2,0,1,30431
304,2,3043,3.33333333333333,1,0,30432
319,1,3191,1.83333333333333,0,1,31911
319,2,3191,2,1,0,31912
319,1,3192,2.5,0,1,31921
319,2,3192,1.16666666666667,1,0,31922
319,1,3193,2.66666666666667,0,1,31931
319,2,3193,2.16666666666667,1,0,31932
321,1,3211,1.16666666666667,0,1,32111
321,2,3211,1.83333333333333,1,0,32112
321,1,3212,1,0,1,32121
321,2,3212,1,1,0,32122
321,1,3213,1.16666666666667,0,1,32131
321,2,3213,1.66666666666667,1,0,32132
322,1,3221,1.33333333333333,0,1,32211
322,2,3221,1.5,1,0,32212
322,1,3222,1.33333333333333,0,1,32221
322,2,3222,2.16666666666667,1,0,32222
322,1,3223,1.16666666666667,0,1,32231
322,2,3223,1.33333333333333,1,0,32232
325,1,3251,1,0,1,32511
325,2,3251,1.16666666666667,1,0,32512
325,1,3252,1.5,0,1,32521
325,2,3252,1.33333333333333,1,0,32522
325,1,3253,1,0,1,32531
325,2,3253,1,1,0,32532
328,1,3281,1,0,1,32811
328,2,3281,1.83333333333333,1,0,32812
328,1,3282,1.16666666666667,0,1,32821
328,2,3282,3.16666666666667,1,0,32822
328,1,3283,1.33333333333333,0,1,32831
328,2,3283,1.66666666666667,1,0,32832
329,1,3291,3.5,0,1,32911
329,2,3291,1,1,0,32912
329,1,3292,2.5,0,1,32921
329,2,3292,3.33333333333333,1,0,32922
329,1,3293,2.16666666666667,0,1,32931
329,2,3293,2,1,0,32932
333,1,3331,2,0,1,33311
333,2,3331,1.16666666666667,1,0,33312
333,1,3332,2,0,1,33321
333,2,3332,1,1,0,33322
333,1,3333,2.16666666666667,0,1,33331
333,2,3333,1,1,0,33332
337,1,3371,1.16666666666667,0,1,33711
337,2,3371,1,1,0,33712
337,1,3372,2.83333333333333,0,1,33721
337,2,3372,1.5,1,0,33722
337,1,3373,2.33333333333333,0,1,33731
337,2,3373,1.5,1,0,33732
338,1,3381,1,0,1,33811
338,2,3381,1,1,0,33812
338,1,3382,1,0,1,33821
338,2,3382,1.16666666666667,1,0,33822
338,1,3383,1,0,1,33831
338,2,3383,1.66666666666667,1,0,33832
339,1,3391,1.16666666666667,0,1,33911
339,2,3391,1.5,1,0,33912
339,1,3392,1.33333333333333,0,1,33921
339,2,3392,1.5,1,0,33922
339,1,3393,1.66666666666667,0,1,33931
339,2,3393,1,1,0,33932
343,1,3431,2,0,1,34311
343,2,3431,2.33333333333333,1,0,34312
343,1,3432,2.83333333333333,0,1,34321
343,2,3432,1.5,1,0,34322
343,1,3433,3.33333333333333,0,1,34331
343,2,3433,2.16666666666667,1,0,34332
